name,stars,age_in_years,releases,primary_language,repo_url,dit,loc,cbo:mean,cbo:median,cbo:std,lcom*:mean,lcom*:median,lcom*:std,processed
Tencent/APIJSON,17068,7.8,100,Java,https://github.com/Tencent/APIJSON,4.0,12529.0,5.567164179104478,2.0,9.034302590759479,0.5365488046428571,0.85714287,0.4567001714644093,True
williamfiset/Algorithms,17046,7.48,0,Java,https://github.com/williamfiset/Algorithms,2.0,32494.0,2.6069114470842334,2.0,1.7893722027145067,0.33016803132034633,0.32039475500000003,0.3325224338882391,True
antlr/antlr4,16934,14.6,31,Java,https://github.com/antlr/antlr4,9.0,40886.0,5.716666666666667,3.0,7.209843509698628,0.27837457486585365,0.0,0.36273064524306003,True
openzipkin/zipkin,16917,12.27,92,Java,https://github.com/openzipkin/zipkin,19.0,38332.0,6.318352059925093,5.0,5.123666688074642,0.2626176293316456,0.0,0.3255879403751145,True
ashishps1/awesome-system-design-resources,16875,0.87,0,Java,https://github.com/ashishps1/awesome-system-design-resources,1.0,276.0,0.7,1.0,0.45825756949558394,0.152916667,0.208333335,0.13003805536265145,True
nostra13/Android-Universal-Image-Loader,16785,12.79,0,Java,https://github.com/nostra13/Android-Universal-Image-Loader,6.0,7434.0,4.864285714285714,3.0,4.859762948783341,0.3300726994117647,0.133333335,0.3666903394722359,True
kunal-kushwaha/DSA-Bootcamp-Java,16762,3.11,0,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,3.0,6619.0,1.2727272727272727,1.0,1.2354798049926743,0.10578211256916996,0.0,0.22821271945237667,True
winterbe/java8-tutorial,16721,10.49,0,Java,https://github.com/winterbe/java8-tutorial,1.0,2081.0,1.0340909090909092,1.0,1.0384523409684288,0.08440656681818183,0.0,0.2046352922816978,True
shuzheng/zheng,16660,7.93,0,Java,https://github.com/shuzheng/zheng,2.0,41742.0,4.369351669941061,3.0,5.5542620471234585,0.35802219675105484,0.0,0.38128771681487905,True
infinilabs/analysis-ik,16451,12.74,208,Java,https://github.com/infinilabs/analysis-ik,2.0,2250.0,4.911764705882353,4.5,3.450214375767733,0.47567694676470584,0.455555575,0.3120124778709126,True
justauth/JustAuth,16371,5.61,45,Java,https://github.com/justauth/JustAuth,4.0,5504.0,5.394444444444445,2.0,5.928740940183039,0.11274817117241379,0.0,0.2729317074735947,True
baomidou/mybatis-plus,16264,8.06,30,Java,https://github.com/baomidou/mybatis-plus,7.0,31456.0,5.410896708286039,3.0,5.953209093830821,0.1975748855942783,0.0,0.32345748449432105,True
material-components/material-components-android,16246,7.76,96,Java,https://github.com/material-components/material-components-android,11.0,107506.0,7.020242914979757,4.0,8.086550734089313,0.22884162260427265,0.0,0.33911643618843895,True
JeffLi1993/springboot-learning-example,16220,7.59,0,Java,https://github.com/JeffLi1993/springboot-learning-example,3.0,1664.0,4.649122807017544,3.0,4.060901412637845,0.17327558605263157,0.0,0.27289197169780927,True
dromara/Sa-Token,16131,4.6,33,Java,https://github.com/dromara/Sa-Token,6.0,22567.0,4.610229276895944,3.0,4.782917256057887,0.22105148998161767,0.0,0.3480586692980761,True
YunaiV/yudao-cloud,16024,5.36,14,Java,https://github.com/YunaiV/yudao-cloud,5.0,73855.0,7.747013782542114,6.0,7.042444788682955,0.2494634128818653,0.0,0.3417084258370633,True
prestodb/presto,15889,12.09,0,Java,https://github.com/prestodb/presto,30.0,706538.0,8.677610657498926,6.0,11.894268905466811,0.3105453837299071,0.23538462,0.3336720301304626,True
alibaba/DataX,15735,6.64,7,Java,https://github.com/alibaba/DataX,8.0,78803.0,4.3378038558256495,3.0,5.611094345459553,0.3234806124893617,0.25,0.33489808026570367,True
heibaiying/BigData-Notes,15706,5.5,0,Java,https://github.com/heibaiying/BigData-Notes,2.0,2124.0,5.714285714285714,5.0,3.4897145451568146,0.17255555786666665,0.0,0.2486321270923835,True
dyc87112/SpringBoot-Learning,15695,8.05,0,Java,https://github.com/dyc87112/SpringBoot-Learning,3.0,2788.0,4.385767790262173,4.0,2.9153255884896647,0.08010442333333333,0.0,0.20498508355140976,True
ben-manes/caffeine,15683,9.75,68,Java,https://github.com/ben-manes/caffeine,22.0,77232.0,4.930781758957655,3.0,6.48734149822451,0.22368001826470582,0.0,0.31723804795996957,True
android10/Android-CleanArchitecture,15513,10.06,0,Java,https://github.com/android10/Android-CleanArchitecture,3.0,2260.0,5.142857142857143,4.0,4.648458160003822,0.24712062342857138,0.0,0.3263052768273236,True
android-hacker/VirtualXposed,15329,6.78,50,Java,https://github.com/android-hacker/VirtualXposed,303.0,47736.0,3.9642119752236753,2.0,5.280835706162372,0.13550676669707404,0.0,0.2881265499981714,True
conductor-oss/conductor,15242,0.75,11,Java,https://github.com/conductor-oss/conductor,4.0,62430.0,7.431712962962963,5.0,8.1656724922656,0.32353691064177365,0.25,0.34068338218485866,True
mockito/mockito,14811,11.91,211,Java,https://github.com/mockito/mockito,19.0,51534.0,3.283309283309283,2.0,4.294818899060157,0.13525300283033934,0.0,0.2661781274398508,True
CodePhiliaX/Chat2DB,14764,1.22,38,Java,https://github.com/CodePhiliaX/Chat2DB,5.0,32697.0,5.869047619047619,4.0,6.597161057121877,0.2684149313518248,0.0,0.341952582710548,True
apache/hadoop,14635,10.04,0,Java,https://github.com/apache/hadoop,77.0,1639107.0,7.276006827513032,4.0,10.966883369768444,0.3003798738438589,0.0,0.35237013984817445,True
Konloch/bytecode-viewer,14592,9.91,59,Java,https://github.com/Konloch/bytecode-viewer,10.0,19877.0,4.493540051679586,3.0,5.289728198966229,0.24491341132124356,0.0,0.33010706964887554,True
hdodenhof/CircleImageView,14551,10.65,0,Java,https://github.com/hdodenhof/CircleImageView,3.0,360.0,11.0,5.0,10.677078252031311,0.30823673333333335,0.0,0.4359125687015791,True
zhisheng17/flink-learning,14465,5.69,0,Java,https://github.com/zhisheng17/flink-learning,4.0,13941.0,4.269097222222222,3.0,4.455663127662874,0.18745511240150092,0.0,0.3103024328859868,True
